"Standard Report - Imports"
"Current date: 04/27/2026 2:35 PM (Eastern Daylight Time)"
"Country: World Total"
"Commodity";"Time";"Customs Value (Gen) ($US)";"Customs  Value (Cons) ($US)";"Dutiable Value ($US)";"CIF Value (Gen) ($US)";"CIF Value (Cons) ($US)";"Calculated Duty ($US)";"Quantity 1 (Gen)";"Customs Unit Value (Gen)";"Customs Unit Value (Cons)";"Card Count";"Quantity 2 (Cons)";"Quantity 2  (Gen)";"Quantity 1 (Cons)";
"4011 New Pneumatic Tires, Of Rubber";"September 2003";"415,606,859";"414,287,067";"242,452,221";"446,650,463";"445,280,454";"9,584,395";"";"";"";"34,267";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"October 2003";"421,568,088";"419,536,088";"238,323,981";"453,838,896";"451,704,205";"9,418,839";"";"";"";"35,501";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"November 2003";"394,310,614";"393,141,578";"218,240,811";"423,801,381";"422,572,947";"8,610,931";"";"";"";"31,157";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"December 2003";"451,291,860";"450,295,181";"262,902,844";"486,076,003";"485,017,275";"10,385,518";"";"";"";"34,576";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"2004";"6,071,855,670";"6,009,346,830";"3,765,581,898";"6,531,654,908";"6,465,220,694";"147,271,517";"";"";"";"396,747";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"January 2004";"425,518,329";"424,280,236";"248,048,881";"457,786,780";"456,490,811";"9,805,251";"";"";"";"31,831";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"February 2004";"423,637,378";"423,114,171";"239,276,510";"454,133,717";"453,592,726";"9,472,666";"";"";"";"30,173";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"March 2004";"524,966,874";"524,247,889";"314,499,249";"563,217,902";"562,480,131";"12,375,876";"";"";"";"34,248";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"April 2004";"502,183,370";"492,705,823";"304,930,208";"539,886,541";"529,941,562";"11,898,789";"";"";"";"35,060";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"May 2004";"517,770,542";"509,415,736";"327,724,064";"555,664,001";"546,864,543";"12,787,736";"";"";"";"33,834";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"June 2004";"521,533,725";"514,718,662";"328,904,817";"561,218,957";"554,099,609";"12,798,903";"";"";"";"31,300";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"July 2004";"513,994,594";"504,096,028";"328,999,838";"553,701,811";"543,243,765";"12,830,129";"";"";"";"29,611";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"August 2004";"515,300,079";"507,394,064";"323,116,180";"554,925,454";"546,333,515";"12,605,925";"";"";"";"29,886";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"September 2004";"499,283,289";"497,324,556";"315,570,133";"536,921,120";"534,618,041";"12,301,775";"";"";"";"31,623";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"October 2004";"529,428,640";"525,392,281";"331,316,799";"570,766,617";"566,353,718";"12,936,651";"";"";"";"36,478";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"November 2004";"544,504,518";"539,094,403";"342,350,570";"586,347,478";"580,483,185";"13,357,526";"";"";"";"37,880";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"December 2004";"553,734,332";"547,562,981";"360,844,649";"597,084,530";"590,719,088";"14,100,290";"";"";"";"34,823";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"2005";"7,444,873,146";"7,414,187,778";"4,741,790,159";"7,997,160,114";"7,969,068,132";"186,705,220";"";"";"";"497,413";"";"";""
"4011 New Pneumatic Tires, Of Rubber";"January 2005";"537,684,389";"537,546,856";"338,475,112";"578,954,545";"578,661,985";"13,229,906";"";"";"";"36,947";"";"";""
